"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
146610,16,"English (American)","WG","First","White","Male",NA,"I214195",TRUE,FALSE,"Marchman","Some College","comprehension",338,TRUE,"All Data",1071,"All Data (n = 1071)"
146611,10,"English (American)","WG",NA,"Black","Male",NA,"I214204",TRUE,FALSE,"Marchman","Secondary","comprehension",56,TRUE,"All Data",1071,"All Data (n = 1071)"
146612,13,"English (American)","WG","First","Black","Male",NA,"I214207",TRUE,FALSE,"Marchman","Secondary","comprehension",55,TRUE,"All Data",1071,"All Data (n = 1071)"
146613,14,"English (American)","WG","Fourth","Other","Male",NA,"I214209",TRUE,FALSE,"Marchman","Some Secondary","comprehension",42,TRUE,"All Data",1071,"All Data (n = 1071)"
146614,16,"English (American)","WG","Third","White","Male",NA,"I214219",TRUE,FALSE,"Marchman","Secondary","comprehension",140,TRUE,"All Data",1071,"All Data (n = 1071)"
146615,11,"English (American)","WG","Fifth","Black","Male",NA,"I214378",TRUE,FALSE,"Marchman","Some College","comprehension",88,TRUE,"All Data",1071,"All Data (n = 1071)"
146616,16,"English (American)","WG","First","Black","Female",NA,"I214379",TRUE,FALSE,"Marchman","Some Secondary","comprehension",276,TRUE,"All Data",1071,"All Data (n = 1071)"
146617,12,"English (American)","WG","Fourth","Black","Female",NA,"I214381",TRUE,FALSE,"Marchman","Some College","comprehension",393,TRUE,"All Data",1071,"All Data (n = 1071)"
146618,14,"English (American)","WG","Second","Hispanic","Male",NA,"I214382",TRUE,FALSE,"Marchman","Some College","comprehension",109,TRUE,"All Data",1071,"All Data (n = 1071)"
146619,10,"English (American)","WG",NA,"Black","Female",NA,"I214384",TRUE,FALSE,"Marchman","Some Secondary","comprehension",58,TRUE,"All Data",1071,"All Data (n = 1071)"
146620,15,"English (American)","WG","First","Black","Male",NA,"I214387",TRUE,FALSE,"Marchman","Secondary","comprehension",69,TRUE,"All Data",1071,"All Data (n = 1071)"
146621,9,"English (American)","WG","First","Black","Male",NA,"I216108",TRUE,FALSE,"Marchman","Some Secondary","comprehension",49,TRUE,"All Data",1071,"All Data (n = 1071)"
146622,10,"English (American)","WG","Second","Black","Female",NA,"I216110",TRUE,FALSE,"Marchman","Some Secondary","comprehension",20,TRUE,"All Data",1071,"All Data (n = 1071)"
146623,15,"English (American)","WG","Third","Black","Female",NA,"I216112",TRUE,FALSE,"Marchman","Some College","comprehension",88,TRUE,"All Data",1071,"All Data (n = 1071)"
146624,12,"English (American)","WG","Second","White","Female",NA,"I300004",TRUE,FALSE,"Marchman","Some College","comprehension",18,TRUE,"All Data",1071,"All Data (n = 1071)"
146625,12,"English (American)","WG","Third","White","Male",NA,"I300005",TRUE,FALSE,"Marchman","Graduate","comprehension",97,TRUE,"All Data",1071,"All Data (n = 1071)"
146626,12,"English (American)","WG","First","Black","Male",NA,"I300008",TRUE,FALSE,"Marchman","Some College","comprehension",20,TRUE,"All Data",1071,"All Data (n = 1071)"
146627,13,"English (American)","WG","Fifth","White","Female",NA,"I300010",TRUE,FALSE,"Marchman","Some College","comprehension",69,TRUE,"All Data",1071,"All Data (n = 1071)"
146628,12,"English (American)","WG","First","White","Male",NA,"I300011",TRUE,FALSE,"Marchman","College","comprehension",61,TRUE,"All Data",1071,"All Data (n = 1071)"
146629,12,"English (American)","WG","Second","White","Female",NA,"I300012",TRUE,FALSE,"Marchman","Some College","comprehension",37,TRUE,"All Data",1071,"All Data (n = 1071)"
146630,12,"English (American)","WG","Third","White","Male",NA,"I300013",TRUE,FALSE,"Marchman","Graduate","comprehension",26,TRUE,"All Data",1071,"All Data (n = 1071)"
146631,12,"English (American)","WG","First","White","Male",NA,"I300016",TRUE,FALSE,"Marchman","Some College","comprehension",66,TRUE,"All Data",1071,"All Data (n = 1071)"
146632,12,"English (American)","WG","First","White","Female",NA,"I300017",TRUE,FALSE,"Marchman","Some College","comprehension",68,TRUE,"All Data",1071,"All Data (n = 1071)"
146633,12,"English (American)","WG","Second","White","Female",NA,"I300018",TRUE,FALSE,"Marchman","Graduate","comprehension",28,TRUE,"All Data",1071,"All Data (n = 1071)"
146634,12,"English (American)","WG","First","White","Female",NA,"I300019",TRUE,FALSE,"Marchman","Secondary","comprehension",127,TRUE,"All Data",1071,"All Data (n = 1071)"
146635,13,"English (American)","WG","First","White","Female",NA,"I300020",TRUE,FALSE,"Marchman","Graduate","comprehension",78,TRUE,"All Data",1071,"All Data (n = 1071)"
146636,12,"English (American)","WG","First","White","Male",NA,"I300021",TRUE,FALSE,"Marchman","College","comprehension",87,TRUE,"All Data",1071,"All Data (n = 1071)"
146637,12,"English (American)","WG","First","White","Male",NA,"I300022",TRUE,FALSE,"Marchman","Graduate","comprehension",38,TRUE,"All Data",1071,"All Data (n = 1071)"
146638,13,"English (American)","WG","First","Hispanic","Female",NA,"I300023",TRUE,FALSE,"Marchman","College","comprehension",71,TRUE,"All Data",1071,"All Data (n = 1071)"
146639,13,"English (American)","WG","First","Hispanic","Male",NA,"I300024",TRUE,FALSE,"Marchman","Some College","comprehension",4,TRUE,"All Data",1071,"All Data (n = 1071)"
146640,13,"English (American)","WG","Second","White","Male",NA,"I300025",TRUE,FALSE,"Marchman","Secondary","comprehension",59,TRUE,"All Data",1071,"All Data (n = 1071)"
146641,13,"English (American)","WG","First","White","Male",NA,"I300026",TRUE,FALSE,"Marchman","College","comprehension",157,TRUE,"All Data",1071,"All Data (n = 1071)"
146642,14,"English (American)","WG","First","White","Female",NA,"I300027",TRUE,FALSE,"Marchman","Some Graduate","comprehension",129,TRUE,"All Data",1071,"All Data (n = 1071)"
146643,14,"English (American)","WG","First","White","Male",NA,"I300028",TRUE,FALSE,"Marchman","Graduate","comprehension",44,TRUE,"All Data",1071,"All Data (n = 1071)"
146644,14,"English (American)","WG","First","White","Female",NA,"I300029",TRUE,FALSE,"Marchman","College","comprehension",94,TRUE,"All Data",1071,"All Data (n = 1071)"
146645,14,"English (American)","WG","First","White","Female",NA,"I300030",TRUE,FALSE,"Marchman","Graduate","comprehension",110,TRUE,"All Data",1071,"All Data (n = 1071)"
146646,14,"English (American)","WG","First","White","Male",NA,"I300031",TRUE,FALSE,"Marchman","Some College","comprehension",77,TRUE,"All Data",1071,"All Data (n = 1071)"
146647,14,"English (American)","WG",NA,"White","Male",NA,"I300034",TRUE,FALSE,"Marchman","College","comprehension",130,TRUE,"All Data",1071,"All Data (n = 1071)"
146648,13,"English (American)","WG","First","Hispanic","Male",NA,"I300036",TRUE,FALSE,"Marchman","College","comprehension",50,TRUE,"All Data",1071,"All Data (n = 1071)"
146649,13,"English (American)","WG","Second","White","Male",NA,"I300037",TRUE,FALSE,"Marchman","College","comprehension",122,TRUE,"All Data",1071,"All Data (n = 1071)"
146650,12,"English (American)","WG","First","White","Female",NA,"I300038",TRUE,FALSE,"Marchman","Secondary","comprehension",71,TRUE,"All Data",1071,"All Data (n = 1071)"
146651,16,"English (American)","WG","Third","White","Male",NA,"I300039",TRUE,FALSE,"Marchman","College","comprehension",103,TRUE,"All Data",1071,"All Data (n = 1071)"
146652,16,"English (American)","WG","First","White","Female",NA,"I300040",TRUE,FALSE,"Marchman","Graduate","comprehension",279,TRUE,"All Data",1071,"All Data (n = 1071)"
146653,17,"English (American)","WG","Third","White","Male",NA,"I300043",TRUE,FALSE,"Marchman","College","comprehension",202,TRUE,"All Data",1071,"All Data (n = 1071)"
146654,16,"English (American)","WG","First","White","Female",NA,"I300045",TRUE,FALSE,"Marchman","College","comprehension",66,TRUE,"All Data",1071,"All Data (n = 1071)"
146655,16,"English (American)","WG","First","White","Male",NA,"I300046",TRUE,FALSE,"Marchman","Graduate","comprehension",289,TRUE,"All Data",1071,"All Data (n = 1071)"
146656,15,"English (American)","WG","First","Asian","Male",NA,"I300047",TRUE,FALSE,"Marchman","Graduate","comprehension",123,TRUE,"All Data",1071,"All Data (n = 1071)"
146657,15,"English (American)","WG","First","White","Female",NA,"I300048",TRUE,FALSE,"Marchman","Some College","comprehension",337,TRUE,"All Data",1071,"All Data (n = 1071)"
146658,16,"English (American)","WG","First","White","Female",NA,"I300049",TRUE,FALSE,"Marchman","Some College","comprehension",45,TRUE,"All Data",1071,"All Data (n = 1071)"
146659,16,"English (American)","WG","Third","White","Female",NA,"I300050",TRUE,FALSE,"Marchman","College","comprehension",260,TRUE,"All Data",1071,"All Data (n = 1071)"
146660,16,"English (American)","WG","Second","White","Female",NA,"I300051",TRUE,FALSE,"Marchman","Graduate","comprehension",169,TRUE,"All Data",1071,"All Data (n = 1071)"
146661,16,"English (American)","WG","First","White","Female",NA,"I300052",TRUE,FALSE,"Marchman","Graduate","comprehension",266,TRUE,"All Data",1071,"All Data (n = 1071)"
146662,11,"English (American)","WG","First","White","Female",NA,"I300055",TRUE,FALSE,"Marchman","College","comprehension",247,TRUE,"All Data",1071,"All Data (n = 1071)"
146663,15,"English (American)","WG","First","White","Male",NA,"I300056",TRUE,FALSE,"Marchman","Some College","comprehension",253,TRUE,"All Data",1071,"All Data (n = 1071)"
146664,15,"English (American)","WG","Second","White","Male",NA,"I300057",TRUE,FALSE,"Marchman","College","comprehension",151,TRUE,"All Data",1071,"All Data (n = 1071)"
146665,12,"English (American)","WG","First","White","Male",NA,"I300084",TRUE,FALSE,"Marchman","Some College","comprehension",16,TRUE,"All Data",1071,"All Data (n = 1071)"
146666,13,"English (American)","WG","First","White","Female",NA,"I300085",TRUE,FALSE,"Marchman","College","comprehension",124,TRUE,"All Data",1071,"All Data (n = 1071)"
146667,13,"English (American)","WG","First","Hispanic","Female",NA,"I300086",TRUE,FALSE,"Marchman","Some College","comprehension",67,TRUE,"All Data",1071,"All Data (n = 1071)"
146668,14,"English (American)","WG","Second","White","Female",NA,"I300088",TRUE,FALSE,"Marchman","Graduate","comprehension",137,TRUE,"All Data",1071,"All Data (n = 1071)"
146669,14,"English (American)","WG","First","White","Female",NA,"I300090",TRUE,FALSE,"Marchman","Secondary","comprehension",87,TRUE,"All Data",1071,"All Data (n = 1071)"
146670,14,"English (American)","WG","First","White","Male",NA,"I300091",TRUE,FALSE,"Marchman","Graduate","comprehension",54,TRUE,"All Data",1071,"All Data (n = 1071)"
146671,14,"English (American)","WG","Second","White","Male",NA,"I300092",TRUE,FALSE,"Marchman","College","comprehension",57,TRUE,"All Data",1071,"All Data (n = 1071)"
146672,15,"English (American)","WG","Second","White","Male",NA,"I300093",TRUE,FALSE,"Marchman","Secondary","comprehension",136,TRUE,"All Data",1071,"All Data (n = 1071)"
146673,15,"English (American)","WG","First","White","Male",NA,"I300094",TRUE,FALSE,"Marchman","Secondary","comprehension",182,TRUE,"All Data",1071,"All Data (n = 1071)"
146674,15,"English (American)","WG","Third","White","Female",NA,"I300096",TRUE,FALSE,"Marchman","Secondary","comprehension",171,TRUE,"All Data",1071,"All Data (n = 1071)"
146675,16,"English (American)","WG","First","White","Male",NA,"I300097",TRUE,FALSE,"Marchman","College","comprehension",134,TRUE,"All Data",1071,"All Data (n = 1071)"
146676,15,"English (American)","WG","First","White","Female",NA,"I300098",TRUE,FALSE,"Marchman","Secondary","comprehension",219,TRUE,"All Data",1071,"All Data (n = 1071)"
